                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2252,                   2.68,                 1.5392,                0.00333,                      1,                0.82901,                0.58255,                0.64124,                 2.8906,                 1.0924,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.1979,                 1.6954,                 1.3985,                0.84362,                0.66667,                0.77856,                0.45487,                 1.0195,                 2.5637,                 1.2735,              0.0004148,              0.0004148,              0.0004148
                      3,                 1.1091,                 1.5002,                 1.3303,                      1,                0.29742,                0.70065,                0.48132,                 1.2145,                  2.568,                 1.3819,             0.00062416,             0.00062416,             0.00062416
                      4,                 1.2445,                 1.4656,                 1.4116,                0.92105,                    0.5,                0.66452,                0.41507,                 1.2125,                 2.4153,                 1.3949,             0.00082807,             0.00082807,             0.00082807
                      5,                 1.2661,                 1.4434,                 1.3926,                      1,                 0.4772,                 0.5861,                0.31915,                 1.3191,                 2.4303,                  1.248,              0.0010265,              0.0010265,              0.0010265
                      6,                 1.2433,                 1.5657,                 1.4445,                0.83514,                0.42299,                0.55804,                0.37238,                 1.4387,                 2.6476,                 1.3446,              0.0012196,              0.0012196,              0.0012196
                      7,                 1.2409,                 1.5482,                 1.4313,                      1,                0.48821,                0.60767,                0.43006,                  1.176,                 2.3685,                 1.2807,              0.0014071,              0.0014071,              0.0014071
                      8,                 1.2874,                 1.4307,                 1.4962,                      1,                0.49632,                0.65235,                0.46075,                  1.328,                 2.0287,                 1.3741,              0.0015893,              0.0015893,              0.0015893
                      9,                  1.214,                 1.3785,                 1.4259,                0.61724,                0.58333,                0.49455,                0.33861,                 1.4959,                 2.5109,                  1.456,               0.001766,               0.001766,               0.001766
                     10,                 1.1598,                 1.2935,                 1.3115,                0.56517,                0.65084,                0.53175,                0.36893,                 1.4236,                 2.7394,                 1.4943,              0.0017772,              0.0017772,              0.0017772
                     11,                 1.1379,                 1.2626,                 1.3716,                0.81123,                0.58333,                0.60482,                0.37518,                 1.5892,                 2.5772,                 1.6006,              0.0017525,              0.0017525,              0.0017525
                     12,                  1.238,                 1.3715,                 1.4317,                0.64349,                0.45365,                0.50008,                0.26861,                 2.0695,                 5.7298,                 1.9205,              0.0017278,              0.0017278,              0.0017278
                     13,                 1.2072,                 1.2557,                 1.3977,                0.44029,                0.16667,                0.19178,                0.14223,                 2.2885,                 5.8805,                 2.2181,               0.001703,               0.001703,               0.001703
                     14,                 1.2103,                 1.2235,                 1.4198,                0.63212,                0.57361,                 0.5019,                0.23486,                 1.9975,                 4.5538,                 2.0548,              0.0016783,              0.0016783,              0.0016783
                     15,                 1.1511,                 1.1651,                 1.3786,                0.71842,                0.85143,                0.92119,                0.49269,                 1.2587,                 2.8537,                 1.4995,              0.0016535,              0.0016535,              0.0016535
                     16,                 1.1191,                 1.1178,                 1.3058,                0.90889,                0.83153,                0.85692,                0.47233,                 1.3054,                 2.5767,                 1.5322,              0.0016287,              0.0016287,              0.0016287
                     17,                 1.2215,                  1.113,                 1.3605,                0.75826,                    0.5,                0.56606,                0.39344,                 1.6597,                 2.8028,                 1.7489,               0.001604,               0.001604,               0.001604
                     18,                 1.2319,                   1.07,                 1.3542,                0.82782,                0.58333,                0.61952,                0.41643,                 1.6312,                 2.3538,                  1.716,              0.0015793,              0.0015793,              0.0015793
                     19,                 1.2052,                 1.1152,                 1.3815,                      1,                0.48259,                0.64334,                0.44449,                  1.578,                 1.9716,                 1.6838,              0.0015545,              0.0015545,              0.0015545
                     20,                 1.1392,                 1.0318,                 1.3277,                 0.7654,                0.83333,                0.79035,                0.36115,                 1.8514,                 1.4856,                 1.8532,              0.0015298,              0.0015298,              0.0015298
